Order	Family	Subfamily	Genus	Virus name (s)	Virus GENBANK accession	Baltimore Group	Virus sequence complete	Genetic code table	Taxonomic grouping
Durnavirales	Curvulaviridae		Orthocurvulavirus	Rhizoctonia solani dsRNA virus 1	JX976612	III	Complete genome	1	Curvulaviridae
	Dallocaviridae		Kalovirus	Danakil Halobacteriales tailed virus 2	PQ827554	I	Complete genome	1	Dallocaviridae
	Danacaviridae		Gablavirus	Danakil Halobacteriales tailed virus 1	PQ827553	I	Complete genome	1	Danacaviridae
Crassvirales	Darmviridae	Oafivirinae	Bohxovirus	uncultured phage cr61_1	MZ130491	I	Complete genome	1	Darmviridae
Crassvirales	Darmviridae	Oafivirinae	Buhlduvirus	uncultured phage cr272_1	MT774410	I	Complete genome	1	Darmviridae
Tymovirales	Deltaflexiviridae		Deltaflexivirus	Fusarium graminearum deltaflexivirus 1	KX015962	IV	Complete genome	1	Deltaflexiviridae
Tymovirales	Deltaflexiviridae		Deltaflexivirus	Pleurotus ostreatus deltaflexivirus 1	OQ295989	IV	Complete genome	1	Deltaflexiviridae
	Demerecviridae	Ermolyevavirinae	Cetovirus	Vibrio phage Ceto	MG649966	I	Complete genome	1	Demerecviridae
	Demerecviridae	Ermolyevavirinae	Jesfedecavirus	Vibrio phage JSF10	KY883654	I	Complete genome	1	Demerecviridae
Picornavirales	Dicistroviridae		Aparavirus	acute bee paralysis virus	AF150629	IV	Complete genome	1	Dicistroviridae
Picornavirales	Dicistroviridae		Aparavirus	mud crab virus	HM777507	IV	Complete genome	1	Dicistroviridae
Hareavirales	Discoviridae		Orthodiscovirus	Coniothyrium diplodiella negative-stranded RNA virus 1	MK584854	V	Coding-complete genome	1	Discoviridae
Hareavirales	Discoviridae		Orthodiscovirus	Plasmopara viticola lesion associated mycobunyavirales-like virus 9	MN585282	V	Coding-complete genome	1	Discoviridae
Priklausovirales	Dishuiviroviridae		Essdubovirus	Chlorella virophage isolate SW01	OL828819	I	Complete genome	1	Dishuiviroviridae
Jormunvirales	Draupnirviridae		Armipotenivirus	Circoviridae TaCV2	MF804498		Complete genome	1	Draupnirviridae
Jormunvirales	Draupnirviridae		Asperivirus	Lake Sarah-associated circular virus-16	KP153423		Complete genome	1	Draupnirviridae
	Drexlerviridae	Braunvirinae	Augustepiccardvirus	Escherichia phage AugustePiccard	MZ501051	I	Complete genome	1	Drexlerviridae
	Drexlerviridae	Braunvirinae	Christensenvirus	Escherichia phage vB_EcoS_IME542	MK372342	I	Complete genome	1	Drexlerviridae
Thumleimavirales	Druskaviridae		Hacavirus	Haloarcula californiae tailed virus 1	KC292029	I	Complete genome	1	Druskaviridae
Thumleimavirales	Druskaviridae		Tredecimvirus	Haloarcula vallismortis tailed virus 1	KC117377	I	Complete genome	1	Druskaviridae
Norzivirales	Duinviridae		Apeevirus	Acinetobacter phage AP205	AF334111	IV	Complete genome	1	Duinviridae
Crytulvirales	Dumbiviridae		Orthodumbivirus	Armillaria mellea ambi-like virus 2	BK014421		Complete genome	1	Dumbiviridae
Crytulvirales	Dumbiviridae		Orthodumbivirus	Rhizoctonia solani ambivirus 1	MT354567		Complete genome	1	Dumbiviridae
	Duneviridae		Ingelinevirus	Cellulophaga phage Ingeline_1	MT732435	I	Complete genome	1	Duneviridae
	Duneviridae		Labanvirus	Flavobacterium phage vB_FspS_laban6-1	MN812211	I	Complete genome	1	Duneviridae
	Ehrlichviridae		Anathvirus	Bacillus phage Anath	MG983742	I	Complete genome	1	Ehrlichviridae
	Ehrlichviridae		Andromedavirus	Bacillus phage Andromeda	KC330684	I	Complete genome	1	Ehrlichviridae
Nakonvirales	Ekchuahviridae		Kukulkanvirus	Methanophagales virus GBV301	OP880252	I	Complete genome	1	Ekchuahviridae
Nakonvirales	Ekchuahviridae		Kukulkanvirus	Methanophagales virus GBV302	OP880253	I	Complete genome	1	Ekchuahviridae
Cirlivirales	Endolinaviridae		Bovdisavirus	Circoviridae sp. C042793	MH782429		Complete genome	1	Endolinaviridae
